Data,BROKER,SERVICE_NAME,SERVICE_CLASS,PROGRAMA,QUANTIDADE
2021-10-26,ETB170,PORTALDETRAN,SDGX,NSDGX500,162.0
2021-10-27,ETB170,PORTALDETRAN,SDGX,NSDGX500,66.0
2021-10-28,ETB170,PORTALDETRAN,SDGX,NSDGX500,58.0
2021-10-29,ETB170,PORTALDETRAN,SDGX,NSDGX500,44.0
2021-10-30,ETB170,PORTALDETRAN,SDGX,NSDGX500,83.0
2021-10-31,ETB170,PORTALDETRAN,SDGX,NSDGX500,84.5
2021-11-01,ETB170,PORTALDETRAN,SDGX,NSDGX500,86.0
2021-11-02,ETB170,PORTALDETRAN,SDGX,NSDGX500,87.0
2021-11-03,ETB170,PORTALDETRAN,SDGX,NSDGX500,88.0
2021-11-04,ETB170,PORTALDETRAN,SDGX,NSDGX500,63.0
2021-11-05,ETB170,PORTALDETRAN,SDGX,NSDGX500,212.0
2021-11-06,ETB170,PORTALDETRAN,SDGX,NSDGX500,64.0
2021-11-07,ETB170,PORTALDETRAN,SDGX,NSDGX500,90.5
2021-11-08,ETB170,PORTALDETRAN,SDGX,NSDGX500,117.0
2021-11-09,ETB170,PORTALDETRAN,SDGX,NSDGX500,50.0
2021-11-10,ETB170,PORTALDETRAN,SDGX,NSDGX500,115.0
2021-11-11,ETB170,PORTALDETRAN,SDGX,NSDGX500,54.0
2021-11-12,ETB170,PORTALDETRAN,SDGX,NSDGX500,92.0
2021-11-13,ETB170,PORTALDETRAN,SDGX,NSDGX500,124.0
2021-11-14,ETB170,PORTALDETRAN,SDGX,NSDGX500,103.33333333333333
2021-11-15,ETB170,PORTALDETRAN,SDGX,NSDGX500,82.66666666666666
2021-11-16,ETB170,PORTALDETRAN,SDGX,NSDGX500,62.0
2021-11-17,ETB170,PORTALDETRAN,SDGX,NSDGX500,106.0
2021-11-18,ETB170,PORTALDETRAN,SDGX,NSDGX500,33.0
2021-11-19,ETB170,PORTALDETRAN,SDGX,NSDGX500,120.0
2021-11-20,ETB170,PORTALDETRAN,SDGX,NSDGX500,107.0
2021-11-21,ETB170,PORTALDETRAN,SDGX,NSDGX500,145.5
2021-11-22,ETB170,PORTALDETRAN,SDGX,NSDGX500,184.0
2021-11-23,ETB170,PORTALDETRAN,SDGX,NSDGX500,100.0
2021-11-24,ETB170,PORTALDETRAN,SDGX,NSDGX500,50.0
2021-11-25,ETB170,PORTALDETRAN,SDGX,NSDGX500,50.0
2021-11-26,ETB170,PORTALDETRAN,SDGX,NSDGX500,82.0
2021-11-27,ETB170,PORTALDETRAN,SDGX,NSDGX500,96.0
2021-11-28,ETB170,PORTALDETRAN,SDGX,NSDGX500,83.0
2021-11-29,ETB170,PORTALDETRAN,SDGX,NSDGX500,70.0
2021-11-30,ETB170,PORTALDETRAN,SDGX,NSDGX500,98.0
2021-12-01,ETB170,PORTALDETRAN,SDGX,NSDGX500,4.0
2021-12-02,ETB170,PORTALDETRAN,SDGX,NSDGX500,111.0
2021-12-03,ETB170,PORTALDETRAN,SDGX,NSDGX500,194.0
2021-12-04,ETB170,PORTALDETRAN,SDGX,NSDGX500,3.0
2021-12-05,ETB170,PORTALDETRAN,SDGX,NSDGX500,48.5
2021-12-06,ETB170,PORTALDETRAN,SDGX,NSDGX500,94.0
2021-12-07,ETB170,PORTALDETRAN,SDGX,NSDGX500,95.0
2021-12-08,ETB170,PORTALDETRAN,SDGX,NSDGX500,135.0
2021-12-09,ETB170,PORTALDETRAN,SDGX,NSDGX500,14.0
2021-12-10,ETB170,PORTALDETRAN,SDGX,NSDGX500,4.0
2021-12-11,ETB170,PORTALDETRAN,SDGX,NSDGX500,215.0
2021-12-12,ETB170,PORTALDETRAN,SDGX,NSDGX500,109.0
2021-12-13,ETB170,PORTALDETRAN,SDGX,NSDGX500,3.0
2021-12-14,ETB170,PORTALDETRAN,SDGX,NSDGX500,4.0
2021-12-15,ETB170,PORTALDETRAN,SDGX,NSDGX500,13.0
2021-12-16,ETB170,PORTALDETRAN,SDGX,NSDGX500,18.0
2021-12-17,ETB170,PORTALDETRAN,SDGX,NSDGX500,181.0
2021-12-18,ETB170,PORTALDETRAN,SDGX,NSDGX500,4.0
2021-12-19,ETB170,PORTALDETRAN,SDGX,NSDGX500,55.5
2021-12-20,ETB170,PORTALDETRAN,SDGX,NSDGX500,107.0
2021-12-21,ETB170,PORTALDETRAN,SDGX,NSDGX500,160.0
2021-12-22,ETB170,PORTALDETRAN,SDGX,NSDGX500,5.0
2021-12-23,ETB170,PORTALDETRAN,SDGX,NSDGX500,107.0
2021-12-24,ETB170,PORTALDETRAN,SDGX,NSDGX500,32.0
2021-12-25,ETB170,PORTALDETRAN,SDGX,NSDGX500,46.666666666666664
2021-12-26,ETB170,PORTALDETRAN,SDGX,NSDGX500,61.33333333333333
2021-12-27,ETB170,PORTALDETRAN,SDGX,NSDGX500,76.0
2021-12-28,ETB170,PORTALDETRAN,SDGX,NSDGX500,155.0
2021-12-29,ETB170,PORTALDETRAN,SDGX,NSDGX500,133.0
2021-12-30,ETB170,PORTALDETRAN,SDGX,NSDGX500,216.0
2021-12-31,ETB170,PORTALDETRAN,SDGX,NSDGX500,150.0
2022-01-01,ETB170,PORTALDETRAN,SDGX,NSDGX500,160.0
2022-01-02,ETB170,PORTALDETRAN,SDGX,NSDGX500,170.0
2022-01-03,ETB170,PORTALDETRAN,SDGX,NSDGX500,180.0
2022-01-04,ETB170,PORTALDETRAN,SDGX,NSDGX500,153.0
2022-01-05,ETB170,PORTALDETRAN,SDGX,NSDGX500,59.0
2022-01-06,ETB170,PORTALDETRAN,SDGX,NSDGX500,122.0
2022-01-07,ETB170,PORTALDETRAN,SDGX,NSDGX500,122.0
2022-01-08,ETB170,PORTALDETRAN,SDGX,NSDGX500,135.33333333333334
2022-01-09,ETB170,PORTALDETRAN,SDGX,NSDGX500,148.66666666666666
2022-01-10,ETB170,PORTALDETRAN,SDGX,NSDGX500,162.0
2022-01-11,ETB170,PORTALDETRAN,SDGX,NSDGX500,161.0
2022-01-12,ETB170,PORTALDETRAN,SDGX,NSDGX500,128.0
2022-01-13,ETB170,PORTALDETRAN,SDGX,NSDGX500,19.0
2022-01-14,ETB170,PORTALDETRAN,SDGX,NSDGX500,38.0
2022-01-15,ETB170,PORTALDETRAN,SDGX,NSDGX500,96.0
2022-01-16,ETB170,PORTALDETRAN,SDGX,NSDGX500,51.0
2022-01-17,ETB170,PORTALDETRAN,SDGX,NSDGX500,6.0
2022-01-18,ETB170,PORTALDETRAN,SDGX,NSDGX500,152.0
2022-01-19,ETB170,PORTALDETRAN,SDGX,NSDGX500,13.0
2022-01-20,ETB170,PORTALDETRAN,SDGX,NSDGX500,19.0
2022-01-21,ETB170,PORTALDETRAN,SDGX,NSDGX500,107.0
2022-01-22,ETB170,PORTALDETRAN,SDGX,NSDGX500,91.0
2022-01-23,ETB170,PORTALDETRAN,SDGX,NSDGX500,81.5
2022-01-24,ETB170,PORTALDETRAN,SDGX,NSDGX500,72.0
2022-01-25,ETB170,PORTALDETRAN,SDGX,NSDGX500,126.0
2022-01-26,ETB170,PORTALDETRAN,SDGX,NSDGX500,147.0
2022-01-27,ETB170,PORTALDETRAN,SDGX,NSDGX500,164.0
2022-01-28,ETB170,PORTALDETRAN,SDGX,NSDGX500,62.0
2022-01-29,ETB170,PORTALDETRAN,SDGX,NSDGX500,8.0
2022-01-30,ETB170,PORTALDETRAN,SDGX,NSDGX500,6.5
2022-01-31,ETB170,PORTALDETRAN,SDGX,NSDGX500,5.0
2022-02-01,ETB170,PORTALDETRAN,SDGX,NSDGX500,119.0
2022-02-02,ETB170,PORTALDETRAN,SDGX,NSDGX500,26.0
2022-02-03,ETB170,PORTALDETRAN,SDGX,NSDGX500,74.0
